case_id,requested_amount,submission_channel,product_type,product_complexity_index,completeness_flag,exception_flag,rework_indicator,stage1_processing_time,sla_breach_flag,risk_flag,customer_segment,recent_exception_rate,resource_workload,era,month_index,approval_verification_outcome,final_transaction_outcome
Application_1000102,15679.96,web,consumer,3,1,0,0,12.57,0,0,mass-affluent,0.084,14,1,13,validated,O_Accepted
Application_1000987,12049.27,web,consumer,1,1,0,0,13.65,0,1,mass-affluent,0.116,14,1,12,validated,O_Refused
Application_1000903,8302.68,web,mortgage,3,1,0,0,11.48,0,1,mass-affluent,0.064,7,0,4,validated,O_Refused
Application_1000948,7252.27,branch,mortgage,5,0,1,0,89.55,1,1,mass-affluent,0.12,6,1,8,returned-for-rework,A_Denied
Application_1000347,27652.67,branch,consumer,2,1,1,0,25.69,0,0,affluent,0.067,13,1,10,escalated,O_Accepted
Application_1000140,39782.06,web,SME,4,0,1,0,46.83,1,0,affluent,0.169,14,1,18,returned-for-rework,O_Accepted
Application_1000622,21047.65,branch,mortgage,4,1,0,0,31.25,0,1,affluent,0.163,8,1,8,validated,O_Cancelled
Application_1000500,17856.03,branch,mortgage,4,1,0,0,33.35,0,0,mass-affluent,0.014,9,1,14,validated,A_Pending
Application_1000371,3260.71,partner,consumer,3,1,0,0,19.06,0,0,mass-market,0.065,2,1,16,validated,O_Accepted
Application_1000199,7510.89,web,SME,2,1,1,0,9.76,0,0,mass-affluent,0.26,6,1,12,escalated,A_Pending
Application_1000688,8609.78,web,mortgage,5,1,1,2,30.1,0,1,mass-affluent,0.15,7,1,14,escalated,A_Denied
Application_1000585,9093.9,branch,consumer,1,1,0,1,20.81,0,1,mass-affluent,0.0,4,1,10,validated,O_Cancelled
Application_1000902,10937.06,web,mortgage,3,1,0,1,39.23,1,1,mass-affluent,0.154,11,0,2,validated,A_Cancelled
Application_1000060,15972.91,branch,consumer,1,1,0,0,21.15,0,0,mass-affluent,0.053,7,1,8,validated,O_Accepted
Application_1000329,8103.96,web,consumer,1,1,0,0,16.74,0,0,mass-affluent,0.178,1,1,16,validated,O_Accepted
Application_1000097,22974.64,branch,consumer,2,1,0,0,21.91,0,0,affluent,0.082,16,1,8,validated,O_Accepted
Application_1000313,14108.03,partner,mortgage,3,0,0,0,33.3,0,0,mass-affluent,0.106,8,1,16,returned-for-rework,A_Pending
Application_1000975,13448.96,partner,consumer,2,1,1,0,18.55,0,1,mass-affluent,0.422,5,1,8,escalated,O_Refused
Application_1000300,2790.99,branch,consumer,2,1,0,0,16.48,0,0,mass-market,0.211,4,1,9,validated,A_Pending
Application_1000278,11093.58,branch,consumer,3,1,0,0,17.07,0,0,mass-affluent,0.182,2,0,3,validated,O_Refused
Application_1000925,6665.75,branch,consumer,1,1,0,2,44.5,1,1,mass-affluent,0.189,8,1,19,validated,A_Cancelled
Application_1000602,13293.99,web,SME,2,1,0,0,25.69,0,1,mass-affluent,0.265,11,1,12,validated,O_Accepted
Application_1000440,29559.86,web,consumer,1,1,0,0,20.29,0,0,affluent,0.018,8,1,16,validated,A_Pending
Application_1000838,19483.35,web,consumer,3,1,0,0,73.31,1,1,mass-affluent,0.231,8,1,11,validated,O_Refused
Application_1000571,24047.76,branch,mortgage,3,1,1,0,29.2,0,1,affluent,0.116,16,1,17,escalated,A_Denied
Application_1000880,37087.37,web,mortgage,4,0,1,0,43.19,1,1,affluent,0.223,13,1,15,returned-for-rework,A_Cancelled
Application_1000262,10335.29,web,mortgage,5,1,0,0,21.01,0,0,mass-affluent,0.039,14,1,9,validated,O_Accepted
Application_1000579,18345.8,web,consumer,3,0,1,0,36.62,1,1,mass-affluent,0.224,17,0,2,returned-for-rework,A_Denied
Application_1000024,18166.98,branch,mortgage,4,1,0,2,43.67,1,0,mass-affluent,0.067,9,1,15,validated,O_Accepted
Application_1000031,15332.7,branch,consumer,1,1,1,0,28.99,0,0,mass-affluent,0.144,13,1,18,escalated,O_Accepted
Application_1000618,11640.69,web,consumer,2,1,0,0,28.38,0,1,mass-affluent,0.121,21,0,1,validated,A_Denied
Application_1000011,24021.12,web,consumer,3,1,0,1,25.85,0,0,affluent,0.168,4,1,13,validated,O_Accepted
Application_1000222,8546.19,branch,mortgage,4,0,0,0,31.86,0,0,mass-affluent,0.081,8,1,19,returned-for-rework,O_Accepted
Application_1000821,17053.38,web,mortgage,4,1,0,1,52.74,1,1,mass-affluent,0.224,6,1,13,validated,O_Accepted
Application_1000297,5719.65,branch,consumer,2,1,0,0,20.43,0,0,mass-affluent,0.164,11,1,13,validated,O_Refused
Application_1000055,7062.81,web,consumer,2,1,1,0,22.64,0,0,mass-affluent,0.068,9,1,12,escalated,A_Pending
Application_1000543,6423.2,web,consumer,1,1,1,0,11.56,0,1,mass-affluent,0.125,11,1,18,escalated,O_Cancelled
Application_1000210,6897.43,branch,mortgage,4,1,1,0,49.72,1,0,mass-affluent,0.234,4,1,19,escalated,O_Accepted
Application_1000605,8344.62,web,consumer,3,0,1,1,107.03,1,1,mass-affluent,0.159,14,0,6,returned-for-rework,O_Cancelled
Application_1000693,16998.92,partner,consumer,1,1,0,0,10.77,0,1,mass-affluent,0.158,9,1,17,validated,A_Cancelled
Application_1000663,35513.54,web,mortgage,3,1,1,1,22.67,0,1,affluent,0.154,1,1,10,escalated,A_Denied
Application_1000867,2859.61,web,consumer,1,1,0,0,8.62,0,1,mass-market,0.105,9,1,9,validated,O_Refused
Application_1000071,30039.11,web,mortgage,5,1,0,0,27.16,0,0,affluent,0.154,6,1,11,validated,O_Accepted
Application_1000544,11725.67,branch,consumer,1,0,0,1,44.84,1,1,mass-affluent,0.21,11,1,19,returned-for-rework,O_Cancelled
Application_1000108,8897.66,branch,consumer,2,0,0,0,43.33,1,0,mass-affluent,0.201,4,1,18,returned-for-rework,A_Pending
Application_1000494,23121.62,branch,consumer,2,1,0,0,28.01,0,0,affluent,0.15,16,1,8,validated,O_Accepted
Application_1000591,12208.82,web,mortgage,5,0,1,0,67.66,1,1,mass-affluent,0.299,11,1,14,returned-for-rework,A_Denied
Application_1000742,5517.74,web,consumer,3,0,0,1,35.8,0,1,mass-affluent,0.245,3,1,12,returned-for-rework,A_Cancelled
Application_1000293,10826.85,partner,consumer,3,1,0,1,24.74,0,0,mass-affluent,0.199,9,1,18,validated,O_Accepted
Application_1000290,3568.74,branch,consumer,1,1,1,0,15.58,0,0,mass-market,0.074,14,1,11,escalated,O_Refused
Application_1000653,61510.49,web,consumer,3,1,0,1,25.85,0,1,high-net-worth,0.159,8,1,10,validated,A_Cancelled
Application_1000040,17004.81,branch,consumer,3,1,0,0,33.88,0,0,mass-affluent,0.112,3,1,9,validated,A_Pending
Application_1000590,12404.48,partner,consumer,3,0,1,0,35.61,0,1,mass-affluent,0.122,9,0,6,returned-for-rework,O_Accepted
Application_1000308,10671.31,partner,consumer,2,1,0,0,25.19,0,0,mass-affluent,0.14,16,0,5,validated,O_Accepted
Application_1000680,3598.37,partner,SME,4,1,0,0,18.87,0,1,mass-market,0.195,18,0,6,validated,A_Cancelled
Application_1000067,14168.64,web,consumer,2,1,0,0,8.23,0,0,mass-affluent,0.17,2,1,9,validated,O_Accepted
Application_1000276,18282.5,web,consumer,1,1,0,0,10.76,0,0,mass-affluent,0.097,6,1,16,validated,O_Accepted
Application_1000068,13245.01,branch,consumer,1,1,0,0,20.18,0,0,mass-affluent,0.173,5,0,5,validated,O_Refused
Application_1000319,5259.8,branch,SME,4,1,0,0,17.9,0,0,mass-affluent,0.152,7,1,10,validated,A_Pending
Application_1000549,46793.8,web,consumer,1,1,1,0,17.21,0,1,affluent,0.242,12,0,1,escalated,O_Cancelled
Application_1000999,5452.74,web,consumer,1,0,0,1,24.14,0,1,mass-affluent,0.224,5,1,11,returned-for-rework,A_Denied
Application_1000715,11825.99,partner,consumer,1,1,0,0,12.56,0,1,mass-affluent,0.194,10,0,3,validated,A_Denied
Application_1000754,36476.56,branch,consumer,1,1,1,0,22.94,0,1,affluent,0.162,9,1,8,escalated,A_Cancelled
Application_1000328,48575.84,branch,consumer,3,1,0,0,36.97,1,0,affluent,0.119,14,1,18,validated,O_Accepted
Application_1000383,23074.35,web,consumer,3,1,0,1,20.22,0,0,affluent,0.096,9,1,15,validated,O_Accepted
Application_1000452,18099.48,branch,consumer,3,1,0,1,30.62,0,0,mass-affluent,0.201,17,1,7,validated,O_Accepted
Application_1000523,30347.79,web,mortgage,4,1,0,1,22.43,0,1,affluent,0.17,9,1,16,validated,O_Refused
Application_1000219,40245.91,web,consumer,3,1,1,1,22.29,0,0,affluent,0.121,13,1,9,escalated,O_Accepted
Application_1000788,8945.63,branch,mortgage,5,1,0,0,30.24,0,1,mass-affluent,0.223,15,1,12,validated,O_Cancelled
Application_1000437,10992.66,partner,consumer,1,1,0,0,21.09,0,0,mass-affluent,0.145,18,1,9,validated,O_Accepted
Application_1000765,19647.15,branch,consumer,3,1,0,0,15.83,0,1,mass-affluent,0.123,5,1,16,validated,A_Cancelled
Application_1000089,27477.89,branch,consumer,3,1,0,0,28.77,0,0,affluent,0.171,10,1,19,validated,O_Accepted
Application_1000064,3036.14,branch,mortgage,4,1,0,1,26.41,0,0,mass-market,0.101,5,0,6,validated,O_Accepted
Application_1000827,16562.6,partner,mortgage,3,1,0,1,43.5,1,1,mass-affluent,0.299,11,1,12,validated,A_Denied
Application_1000717,9189.62,web,mortgage,4,1,0,0,11.44,0,1,mass-affluent,0.122,8,1,19,validated,A_Cancelled
Application_1000352,9692.56,branch,consumer,3,1,0,1,32.31,0,0,mass-affluent,0.112,15,1,8,validated,A_Pending
Application_1000937,43736.54,web,SME,4,1,0,2,28.75,0,1,affluent,0.209,12,0,3,validated,O_Accepted
Application_1000257,23097.73,partner,consumer,1,1,0,0,16.91,0,0,affluent,0.032,5,1,15,validated,O_Accepted
Application_1000636,19341.1,web,consumer,2,0,0,0,25.21,0,1,mass-affluent,0.216,9,1,8,returned-for-rework,O_Refused
Application_1000645,12554.8,web,consumer,1,1,0,0,46.04,1,1,mass-affluent,0.248,13,1,10,validated,O_Accepted
Application_1000555,6780.0,partner,consumer,3,0,1,0,33.35,0,1,mass-affluent,0.075,13,1,16,returned-for-rework,A_Cancelled
Application_1000960,14322.42,branch,consumer,3,0,0,1,43.13,1,1,mass-affluent,0.194,10,1,10,returned-for-rework,O_Refused
Application_1000169,18148.79,partner,consumer,3,1,0,0,31.67,0,0,mass-affluent,0.166,10,1,12,validated,O_Accepted
Application_1000918,3690.43,branch,consumer,3,1,0,0,122.92,1,1,mass-market,0.166,11,1,13,validated,O_Accepted
Application_1000529,13731.66,branch,mortgage,3,1,0,3,41.81,1,1,mass-affluent,0.095,6,1,16,validated,A_Denied
Application_1000824,7860.0,branch,mortgage,5,1,0,0,23.23,0,1,mass-affluent,0.142,9,0,3,validated,A_Cancelled
Application_1000986,1615.74,web,mortgage,3,1,0,0,11.04,0,1,mass-market,0.159,12,1,7,validated,O_Refused
Application_1000817,19284.51,partner,consumer,2,1,0,0,25.3,0,1,mass-affluent,0.261,9,1,14,validated,A_Denied
Application_1000087,11326.72,web,consumer,2,1,0,0,55.73,1,0,mass-affluent,0.071,11,1,15,validated,A_Pending
Application_1000433,7389.55,partner,mortgage,5,1,0,2,32.32,0,0,mass-affluent,0.018,8,1,18,validated,A_Pending
Application_1000185,8583.01,web,consumer,3,1,0,0,6.38,0,0,mass-affluent,0.044,3,1,18,validated,O_Accepted
Application_1000979,22136.62,branch,consumer,1,1,0,0,25.21,0,1,affluent,0.19,16,1,10,validated,A_Denied
Application_1000535,6132.56,web,SME,2,0,1,0,24.06,0,1,mass-affluent,0.144,9,1,12,returned-for-rework,A_Cancelled
Application_1000295,12509.08,branch,consumer,3,1,0,0,19.66,0,0,mass-affluent,0.148,9,1,8,validated,O_Accepted
Application_1000893,3492.23,partner,consumer,2,1,0,0,17.34,0,1,mass-market,0.22,12,1,11,validated,A_Cancelled
Application_1000426,11836.54,branch,mortgage,3,1,0,0,28.68,0,0,mass-affluent,0.173,5,0,4,validated,O_Accepted
Application_1000714,3139.84,branch,consumer,3,1,0,0,46.22,1,1,mass-market,0.152,9,0,2,validated,A_Denied
Application_1000261,20348.54,web,consumer,3,1,0,0,7.74,0,0,affluent,0.026,5,0,3,validated,O_Accepted
Application_1000238,8437.66,partner,mortgage,4,1,1,0,16.46,0,0,mass-affluent,0.083,13,0,6,escalated,O_Accepted
Application_1000560,11001.84,web,mortgage,4,1,0,1,52.11,1,1,mass-affluent,0.141,12,1,19,validated,O_Cancelled
Application_1000584,24381.44,partner,SME,3,1,0,1,34.0,0,1,affluent,0.324,11,1,15,validated,A_Denied
Application_1000446,11066.51,web,consumer,1,1,0,0,14.46,0,0,mass-affluent,0.183,12,1,7,validated,O_Accepted
Application_1000868,26449.0,web,consumer,2,1,0,0,11.36,0,1,affluent,0.07,13,1,8,validated,A_Denied
Application_1000801,23658.16,partner,SME,2,1,0,0,28.72,0,1,affluent,0.238,14,1,18,validated,O_Refused
Application_1000600,20003.77,partner,consumer,2,1,0,0,23.74,0,1,affluent,0.165,2,1,17,validated,O_Cancelled
Application_1000850,9359.27,partner,SME,2,1,0,0,19.04,0,1,mass-affluent,0.068,12,0,5,validated,O_Accepted
Application_1000266,5080.6,branch,consumer,3,1,0,1,49.66,1,0,mass-affluent,0.116,6,0,6,validated,O_Accepted
Application_1000996,11065.66,branch,consumer,1,1,0,3,29.44,0,1,mass-affluent,0.133,17,1,14,validated,A_Denied
Application_1000530,35695.12,web,consumer,3,1,0,0,34.69,0,1,affluent,0.161,8,1,7,validated,A_Cancelled
Application_1000056,6531.58,web,consumer,1,1,0,0,5.24,0,0,mass-affluent,0.057,9,1,11,validated,O_Accepted
Application_1000121,27450.69,branch,SME,4,1,0,1,49.69,1,0,affluent,0.15,9,0,1,validated,O_Accepted
Application_1000216,13427.3,web,consumer,1,1,0,0,23.64,0,0,mass-affluent,0.092,7,1,8,validated,O_Accepted
Application_1000026,16620.74,branch,consumer,1,1,0,0,11.58,0,0,mass-affluent,0.069,7,0,4,validated,A_Pending
Application_1000073,15492.74,branch,consumer,3,1,0,0,43.49,1,0,mass-affluent,0.061,12,1,14,validated,O_Accepted
Application_1000045,11195.17,web,SME,3,1,0,0,11.07,0,0,mass-affluent,0.141,6,0,5,validated,O_Accepted
Application_1000248,7043.05,partner,consumer,3,0,1,0,25.83,0,0,mass-affluent,0.03,10,1,19,returned-for-rework,O_Accepted
Application_1000722,4992.52,branch,consumer,2,0,0,2,54.38,1,1,mass-market,0.201,13,1,16,returned-for-rework,A_Denied
Application_1000282,5152.76,partner,consumer,1,1,0,1,25.11,0,0,mass-affluent,0.138,3,1,10,validated,O_Accepted
Application_1000894,8825.91,partner,consumer,2,1,0,1,108.81,1,1,mass-affluent,0.173,10,1,7,validated,A_Cancelled
Application_1000915,11521.27,web,SME,4,1,1,0,16.04,0,1,mass-affluent,0.129,15,1,7,escalated,A_Denied
Application_1000811,13514.94,partner,consumer,3,0,0,0,78.1,1,1,mass-affluent,0.218,16,1,10,returned-for-rework,O_Cancelled
Application_1000245,8052.48,web,consumer,3,1,0,0,10.87,0,0,mass-affluent,0.164,7,0,3,validated,O_Refused
Application_1000823,5625.03,web,consumer,2,0,1,0,25.07,0,1,mass-affluent,0.043,15,1,11,returned-for-rework,O_Accepted
Application_1000322,16693.99,web,consumer,3,1,0,0,25.99,0,0,mass-affluent,0.079,15,1,13,validated,O_Accepted
Application_1000644,13800.39,web,consumer,2,1,0,1,41.92,1,1,mass-affluent,0.15,13,1,8,validated,A_Denied
Application_1000159,2953.64,branch,consumer,1,1,0,0,23.39,0,0,mass-market,0.133,8,0,1,validated,O_Refused
Application_1000978,4308.85,web,mortgage,4,1,0,1,25.39,0,1,mass-market,0.135,12,0,5,validated,O_Refused
Application_1000430,11483.65,web,mortgage,3,0,1,0,40.23,1,0,mass-affluent,0.168,15,1,18,returned-for-rework,O_Refused
Application_1000942,8599.31,web,consumer,3,1,0,1,34.67,0,1,mass-affluent,0.093,10,1,12,validated,O_Refused
Application_1000463,59469.11,web,consumer,3,1,0,0,12.11,0,0,high-net-worth,0.112,7,1,15,validated,O_Accepted
Application_1000310,6810.08,partner,mortgage,4,1,1,0,17.42,0,0,mass-affluent,0.136,9,1,12,escalated,O_Accepted
Application_1000698,17959.63,web,mortgage,3,1,1,1,24.15,0,1,mass-affluent,0.186,8,1,17,escalated,O_Accepted
Application_1000061,15901.22,branch,mortgage,4,0,1,0,34.05,0,0,mass-affluent,0.125,9,1,13,returned-for-rework,O_Accepted
Application_1000885,48983.65,web,consumer,1,1,0,0,18.42,0,1,affluent,0.226,7,1,17,validated,O_Cancelled
Application_1000596,5780.87,partner,consumer,2,1,0,1,29.81,0,1,mass-affluent,0.144,10,1,18,validated,O_Refused
Application_1000768,3921.46,branch,consumer,2,1,0,0,64.56,1,1,mass-market,0.369,12,1,19,validated,A_Denied
Application_1000650,4776.15,web,consumer,3,1,1,1,16.18,0,1,mass-market,0.12,12,1,7,escalated,A_Cancelled
Application_1000651,9161.07,partner,consumer,1,0,1,0,23.82,0,1,mass-affluent,0.021,4,1,8,returned-for-rework,A_Denied
Application_1000866,6283.36,web,consumer,1,0,0,0,25.84,0,1,mass-affluent,0.083,9,1,9,returned-for-rework,O_Refused
Application_1000669,8269.47,partner,consumer,3,1,0,0,24.67,0,1,mass-affluent,0.125,10,0,1,validated,O_Cancelled
Application_1000299,21242.69,branch,consumer,1,1,0,3,25.72,0,0,affluent,0.168,5,1,7,validated,O_Accepted
Application_1000690,14303.68,web,consumer,2,1,1,1,240.0,1,1,mass-affluent,0.135,8,1,12,escalated,O_Refused
Application_1000315,37351.73,web,mortgage,3,1,0,0,28.39,0,0,affluent,0.109,17,1,9,validated,O_Accepted
Application_1000311,10186.64,branch,consumer,2,1,1,0,29.43,0,0,mass-affluent,0.098,11,0,3,escalated,O_Accepted
Application_1000362,1954.85,branch,consumer,1,1,0,1,21.7,0,0,mass-market,0.228,7,1,18,validated,O_Accepted
Application_1000480,8955.16,partner,consumer,1,1,0,0,14.29,0,0,mass-affluent,0.144,17,1,12,validated,O_Accepted
Application_1000111,36574.03,web,consumer,2,0,1,0,104.36,1,0,affluent,0.197,5,0,1,returned-for-rework,O_Accepted
Application_1000990,11591.86,branch,consumer,2,0,0,1,45.48,1,1,mass-affluent,0.272,12,1,15,returned-for-rework,A_Cancelled
Application_1000487,30694.69,web,mortgage,3,1,0,1,30.76,0,0,affluent,0.115,10,1,8,validated,O_Accepted
Application_1000364,22634.9,web,consumer,2,1,0,0,9.86,0,0,affluent,0.124,9,1,10,validated,O_Accepted
Application_1000255,11929.81,partner,mortgage,5,0,1,0,47.91,1,0,mass-affluent,0.12,12,1,19,returned-for-rework,O_Accepted
Application_1000260,49754.96,web,mortgage,4,0,0,0,38.1,1,0,affluent,0.072,8,0,1,returned-for-rework,O_Accepted
Application_1000803,29928.65,branch,mortgage,5,0,1,0,44.57,1,1,affluent,0.318,10,1,16,returned-for-rework,O_Accepted
Application_1000678,6562.35,branch,consumer,3,0,1,0,78.18,1,1,mass-affluent,0.116,10,1,14,returned-for-rework,O_Accepted
Application_1000495,10664.64,branch,consumer,1,1,1,1,23.59,0,0,mass-affluent,0.13,16,0,1,escalated,O_Accepted
Application_1000671,10458.73,partner,mortgage,3,1,1,0,36.46,1,1,mass-affluent,0.214,10,1,10,escalated,O_Cancelled
Application_1000378,27990.68,partner,consumer,2,1,0,1,57.57,1,0,affluent,0.045,4,1,14,validated,O_Accepted
Application_1000527,13369.52,web,consumer,1,1,0,0,13.42,0,1,mass-affluent,0.083,11,1,18,validated,A_Cancelled
Application_1000846,38512.51,branch,consumer,2,1,0,0,21.01,0,1,affluent,0.198,9,0,6,validated,A_Cancelled
Application_1000138,18209.86,web,consumer,1,1,0,1,19.62,0,0,mass-affluent,0.11,8,0,3,validated,O_Accepted
Application_1000356,38702.8,branch,consumer,3,1,0,1,28.65,0,0,affluent,0.058,11,0,6,validated,O_Accepted
Application_1000366,48389.06,partner,consumer,2,1,0,0,18.59,0,0,affluent,0.04,14,1,12,validated,O_Accepted
Application_1000943,30612.92,branch,consumer,3,1,0,0,21.81,0,1,affluent,0.193,9,1,10,validated,A_Cancelled
Application_1000750,11685.18,partner,SME,2,0,0,0,27.59,0,1,mass-affluent,0.149,6,0,2,returned-for-rework,A_Denied
Application_1000949,12517.81,branch,consumer,2,0,1,2,54.15,1,1,mass-affluent,0.108,11,0,5,returned-for-rework,A_Denied
Application_1000830,9167.43,branch,consumer,3,1,0,0,54.07,1,1,mass-affluent,0.237,18,1,7,validated,A_Cancelled
Application_1000657,23820.13,branch,SME,4,1,0,0,47.34,1,1,affluent,0.223,12,1,18,validated,O_Accepted
Application_1000200,23837.64,partner,consumer,2,1,0,0,31.68,0,0,affluent,0.201,10,1,13,validated,O_Accepted
Application_1000214,37635.88,partner,mortgage,3,1,0,0,18.2,0,0,affluent,0.131,10,0,6,validated,O_Accepted
Application_1000409,24950.8,branch,consumer,1,1,1,0,26.25,0,0,affluent,0.231,11,1,17,escalated,O_Accepted
Application_1000333,13634.08,branch,SME,3,1,0,0,44.01,1,0,mass-affluent,0.165,14,1,8,validated,O_Accepted
Application_1000209,15149.95,branch,consumer,3,1,0,0,20.0,0,0,mass-affluent,0.065,14,0,4,validated,O_Accepted
Application_1000614,15410.43,partner,consumer,2,1,0,1,25.44,0,1,mass-affluent,0.197,15,0,2,validated,A_Cancelled
Application_1000079,10553.55,branch,consumer,1,1,0,0,20.63,0,0,mass-affluent,0.067,3,1,15,validated,O_Accepted
Application_1000030,2651.62,branch,mortgage,5,1,1,1,31.29,0,0,mass-market,0.082,3,0,2,escalated,O_Accepted
Application_1000536,18572.82,branch,SME,4,1,0,0,26.07,0,1,mass-affluent,0.267,14,1,18,validated,O_Cancelled
Application_1000696,17791.56,web,consumer,3,1,0,0,25.03,0,1,mass-affluent,0.022,13,1,7,validated,O_Cancelled
Application_1000558,11669.7,web,consumer,1,1,0,1,25.26,0,1,mass-affluent,0.303,10,0,3,validated,A_Denied
Application_1000837,12152.75,web,consumer,3,0,1,1,36.05,1,1,mass-affluent,0.276,16,1,17,returned-for-rework,A_Cancelled
Application_1000597,5528.02,partner,mortgage,5,1,0,0,29.32,0,1,mass-affluent,0.168,15,1,10,validated,A_Denied
Application_1000166,7967.58,partner,consumer,1,1,0,0,12.81,0,0,mass-affluent,0.166,12,1,11,validated,A_Pending
Application_1000919,19663.76,branch,consumer,3,1,0,0,27.6,0,1,mass-affluent,0.255,12,1,18,validated,A_Cancelled
Application_1000496,5625.01,partner,mortgage,4,1,0,0,121.07,1,0,mass-affluent,0.188,15,0,2,validated,O_Accepted
Application_1000825,54061.48,web,mortgage,3,0,1,0,38.37,1,1,high-net-worth,0.095,8,1,15,returned-for-rework,A_Denied
Application_1000066,10370.47,web,consumer,1,1,0,0,19.49,0,0,mass-affluent,0.321,11,1,9,validated,O_Accepted
Application_1000142,21385.75,branch,consumer,3,1,0,0,23.69,0,0,affluent,0.17,8,1,14,validated,O_Accepted
Application_1000926,32547.23,branch,consumer,2,1,0,0,17.55,0,1,affluent,0.121,9,1,15,validated,A_Cancelled
Application_1000828,15423.38,web,SME,2,1,1,0,38.81,1,1,mass-affluent,0.189,14,0,4,escalated,A_Denied
Application_1000656,21884.28,web,consumer,2,1,1,0,12.28,0,1,affluent,0.171,7,1,13,escalated,A_Cancelled
Application_1000332,9801.29,branch,consumer,3,1,0,0,29.68,0,0,mass-affluent,0.136,7,1,18,validated,O_Accepted
Application_1000665,9196.77,branch,mortgage,4,1,1,0,44.12,1,1,mass-affluent,0.142,9,1,12,escalated,A_Denied
Application_1000250,12947.87,partner,consumer,1,1,1,1,18.43,0,0,mass-affluent,0.079,11,1,19,escalated,O_Accepted
Application_1000908,7716.8,web,mortgage,4,1,0,0,15.67,0,1,mass-affluent,0.199,10,1,15,validated,A_Denied
Application_1000709,7016.41,partner,SME,4,0,1,0,27.46,0,1,mass-affluent,0.09,5,1,18,returned-for-rework,O_Accepted
Application_1000306,10791.94,partner,consumer,1,1,1,0,14.84,0,0,mass-affluent,0.202,11,0,1,escalated,A_Pending
Application_1000735,13466.69,web,mortgage,3,1,1,1,21.43,0,1,mass-affluent,0.18,14,0,1,escalated,O_Cancelled
